Area,Organization,meetingType,Office,Politician,Party_Affiliation,Term_Start,Term_End
Bottle_Bay,Recreational_Water_&_Sewer_District,meeting,Director,Frank_Noble,,,
Bottle_Bay,Recreational_Water_&_Sewer_District,meeting,Vice-Chair,Fred_Park,,,
Clark_Fork,Administration,meeting,Mayor,Russell_Schenk,,18-Jan,22-Jan
Clark_Fork,City_Council,meeting,President,Stan_Spanski,,20-Jan,24-Jan
Clark_Fork,City_Council,meeting,Member,Sharon_Banning,,20-Jan,24-Jan
Clark_Fork,City_Council,meeting,Member,Shari_Jones,,18-Jan,22-Jan
Clark_Fork,City_Council,meeting,Member,Jay_White,,18-Jan,22-Jan
Dover,City_Council,meeting,President,Diane_Brockway,,18-Jan,22-Jan
Dover,City_Council,meeting,Member,Annie_Shaha,,18-Jan,22-Jan
Dover,City_Council,meeting,Member,Dan_Parkin,,20-Jan,24-Jan
Dover,City_Council,meeting,Member,Marty_Hoffman,,20-Jan,24-Jan
Dover,Planning_&_Zoning,meeting,Commissioner,Susan_Kubiak,,,22-Jul
Dover,Planning_&_Zoning,meeting,Commissioner,Julie_Reister-Keaton,,,20-Jul
Dover,Planning_&_Zoning,meeting,Commissioner,"Manord_""Joe""_Gibbs",,,21-Jul
Dover,Planning_&_Zoning,meeting,Commissioner,Marilyn_Becker,,,20-Jul
Dover,Administration,meeting,Mayor,Mike_Davis,,20-Jan,24-Jan
Dover,Urban_Renewal_Board,meeting,President,Bill_Strand,,,
Dover,Urban_Renewal_Board,meeting,Member,Annie_Shaha,,,25-Jan
Dover,Urban_Renewal_Board,meeting,Member,Jim_Haynes,,,23-Jan
Idaho,Executive,meeting,Lieutenant_Governor,Janice_McGeachin,,,
Idaho,Executive,meeting,Secretary_of_State,Lawrence_Denny,,,
Idaho,Executive,meeting,State_Controller,Brandon_Woolf,,,
Idaho,Executive,meeting,State_Treasurer,Julie_Ellsworth,,,
Idaho,Executive,meeting,Attorney_General,Lawrence_Wasden,,,
Idaho,Executive,meeting,Superintendent_of_Public_Instruction,Sherri_Ybarra,,,
US,Congress,meeting,Representative,Mike_Simpson,Republican,,
US,Congress,meeting,Representative,Russ_Felcher,Republican,,
Bonner,Administration,meeting,County_Clerk,Michael_Rosedale,,,23-Jan
Bonner,Administration,meeting,Treasurer,Cheryl_Piehl,,,23-Jan
Bonner,Administration,meeting,Assessor,Donna_Gow,,,23-Jan
Bonner,Administration,meeting,Coroner,Robert_Beers,,,23-Jan
Kootenai,City_Council,meeting,Member,Margaret_Mjelde,,,
Kootenai,City_Council,meeting,Member,Grace_Bauer,,,
Kootenai,City_Council,meeting,Member,David_Sundquist,,,
Kootenai,City_Council,meeting,Member,Daniel_Schock,,,
Kootenai,Administration,meeting,Mayor,Nancy_Lewis,,,
East_Hope,Administration,meeting,Mayor,Vernon_Fleischer,,,23-Jan
East_Hope,City_Council,meeting,President,Debbie_Field,,,
East_Hope,City_Council,meeting,Member,Don_Wells,,,
East_Hope,City_Council,meeting,Member,Joyce_Butler,,,
East_Hope,City_Council,meeting,Member,Amanda_Delima,,,
Preist_River,Administration,meeting,Mayor,Jim_Martin,,,
Preist_River,City_Council,meeting,Member,Doug_Wagner,,,
Preist_River,City_Council,meeting,Member,Greg_Edwards,,,
Preist_River,City_Council,meeting,Member,Kevin_Wylie,,,
Preist_River,City_Council,meeting,Member,Candy_Turner,,,
West_Bonner_School_District,Board_of_Trustees,meeting,Chair,Sandy_Brower,,,
West_Bonner_School_District,Board_of_Trustees,meeting,Vice-Chair,Drew_McLain,,,
West_Bonner_School_District,Board_of_Trustees,meeting,Trustee,Margaret_Hall,,,
West_Bonner_School_District,Board_of_Trustees,meeting,Trustee,Nicole_Butler,,,
West_Bonner_School_District,Board_of_Trustees,meeting,Trustee,Troy_Reinbold,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Chair,Thomas_Lawrence,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Vice-Chair,Tim_Cochran,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Trustee,Helen_Parsons,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Trustee,Scott_Burgstahler,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Trustee,Bart_Casey,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Trustee,Jim_Frank,,,
Pend_Orielle_Hospital_District,Board_of_Trustees,meeting,Trustee,Dan_Rose,,,
